"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","test_delete_pet","tests.api","Tue Apr 15 11:28:15 MSK 2025","passed","Tue Apr 15 11:28:15 MSK 2025","TestReqResEndpoints","test_reqres_enpoints","",""
"","0","test_create_user","tests.api","Tue Apr 15 11:28:15 MSK 2025","skipped","Tue Apr 15 11:28:15 MSK 2025","TestReqResEndpoints","test_reqres_enpoints","",""
"","447","test_create_pet","tests.api","Tue Apr 15 11:28:15 MSK 2025","passed","Tue Apr 15 11:28:15 MSK 2025","TestReqResEndpoints","test_reqres_enpoints","",""
"","0","test_open","tests.ui","Tue Apr 15 11:28:15 MSK 2025","broken","Tue Apr 15 11:28:15 MSK 2025","TestProductsPage","test_products_page","",""
